ID,Parent Company,Acquired Company,Business,Acquisition Date
519,Google,Admeld,Online advertising,2011-06-01
520,Google,SageTV,Media center,2011-06-01
521,Google,Punchd,Loyalty program,2011-07-01
522,Google,Fridge,Social groups,2011-07-01
523,Google,PittPatt,Facial recognition system,2011-07-01
524,Google,Dealmap,One deal a day service,2011-08-01
525,Google,Motorola Mobility,Mobile device manufacturer,2011-08-01
526,Google,Zave Networks,Digital coupons,2011-09-01
527,Google,Zagat,Restaurant reviews,2011-09-01
528,Google,DailyDeal,One deal a day service,2011-09-01
529,Google,SocialGrapple,Social media analytics service,2011-10-01
530,Google,Apture,Instantaneous search,2011-11-01
531,Google,Katango,Social circle organization,2011-11-01
532,Google,RightsFlow,Music rights management,2011-12-01
533,Google,Clever Sense,Local recommendations app,2011-12-01
534,Google,Milk,Software company,2012-03-01
535,Google,TxVia,Online payments,2012-04-01
536,Google,Meebo,Social networking,2012-06-01
537,Google,Quickoffice,Mobile office suite,2012-06-01
538,Google,Sparrow,Mobile apps,2012-07-01
539,Google,WIMM Labs,Android-powered smartwatches,
540,Google,Wildfire Interactive,Social media marketing,2012-08-01
541,Google,VirusTotal.com,Security,2012-09-01
542,Google,Nik Software,Photography,2012-09-01
543,Google,Viewdle,Facial recognition,2012-10-01
544,Google,Incentive Targeting,Digital coupons,2012-11-01
545,Google,BufferBox,Package delivery,2012-11-01
546,Google,Channel Intelligence,Product ecommerce,2013-02-01
547,Google,DNNresearch,Deep Neural Networks,2013-03-01
548,Google,Talaria Technologies,Cloud computing,2013-03-01
549,Google,Behavio,Social Prediction,2013-04-01
550,Google,Wavii,Natural Language Processing,2013-04-01
551,Google,Makani Power,Airborne wind turbines,2013-05-01
552,Google,Waze,GPS navigation software,2013-06-01
553,Google,Bump,Mobile software,2013-09-01
554,Google,Flutter,Gesture recognition technology,2013-10-01
555,Google,FlexyCore,DroidBooster App for Android,2013-10-01
556,Google,Schaft,"Robotics, humanoid robots",2013-12-01
557,Google,Industrial Perception,"Robotic arms, computer vision",2013-12-01
558,Google,Redwood Robotics,Robotic arms,2013-12-01
559,Google,Meka Robotics,Robots,2013-12-01
560,Google,Holomni,Robotic wheels,2013-12-01
561,Google,Bot & Dolly,Robotic cameras,2013-12-01
562,Google,Autofuss,Ads and Design,2013-12-01
563,Google,Bitspin,Timely App for Android,2014-01-01
564,Google,Nest Labs,Home automation,2014-01-01
565,Google,Impermium,Internet security,2014-01-01
566,Google,DeepMind Technologies,Artificial intelligence,2014-01-01
567,Google,SlickLogin,Internet Security,2014-02-01
568,Google,spider.io,Anti-click fraud,2014-02-01
569,Google,GreenThrottle,Gadgets,2014-03-01
570,Google,Titan Aerospace,High-altitude UAVs,2014-04-01
571,Google,Rangespan,E-commerce,2014-05-01
572,Google,Adometry,Online advertising attribution,2014-05-01
573,Google,Appetas,Restaurant website creation,2014-05-01
574,Google,Stackdriver,Cloud computing,2014-05-01
575,Google,MyEnergy,Online energy usage monitoring,2014-05-01
576,Google,Quest Visual,Augmented reality,2014-05-01
577,Google,Divide,Mobile device management,2014-05-01
578,Google,Skybox Imaging,Satellite,2014-06-01
579,Google,mDialog,Online advertising,2014-06-01
580,Google,Alpental Technologies,Wireless,2014-06-01
581,Google,Dropcam,Home monitoring,2014-06-01
582,Google,Appurify,Automated application testing,2014-06-01
583,Google,Songza,Music streaming,2014-07-01
584,Google,drawElements,Graphics compatibility testing,2014-07-01
585,Google,Emu,IM client,2014-08-01
586,Google,Director,Mobile video,2014-08-01
587,Google,Jetpac,"Artificial intelligence, image recognition",2014-08-01
588,Google,Gecko Design,Mechanical design,2014-08-01
589,Google,Zync Render,Cloud-based visual effects software,2014-08-01
590,Google,Lift Labs,Liftware,2014-09-01
591,Google,Polar,Social polling,2014-09-01
592,Google,Firebase,Application development platform,2014-10-01
593,Google,Dark Blue Labs & Vision Factory,Artificial intelligence,2014-10-01
594,Google,Revolv,Home automation,2014-10-01
595,Google,RelativeWave,Mobile software prototyping,2014-11-01
596,Google,Vidmaker,Video editing,2014-12-01
597,Google,Launchpad Toys,Child-friendly apps,2015-02-01
598,Google,Odysee,Multimedia sharing and storage,2015-02-01
599,Google,Softcard,Mobile payments,2015-02-01
600,Google,Red Hot Labs,App advertising and discovery,2015-02-01
601,Google,Thrive Audio,Surround sound technology,2015-04-01
602,Google,Skillman & Hackett,Virtual reality software,2015-04-01
603,Google,Timeful,Mobile software,2015-05-01
604,Google,Pulse.io,Mobile app optimizer,2015-05-01
605,Google,Pixate,Mobile software prototyping,2015-07-01
606,Google,Oyster,E-book subscriptions,2015-09-01
607,Google,Jibe Mobile,Rich Communication Services,2015-09-01
608,Google,Agawi,Mobile application streaming,2015-06-01
609,Google,Digisfera,360-degree photography,2015-10-01
610,Google,Fly Labs,Video editing,2015-11-01
611,Google,bebop,Cloud software,2015-11-01
612,Google,BandPage,Platform for musicians,2016-02-01
613,Google,Pie,Enterprise communications,2016-02-01
614,Google,Synergyse,Interactive learning platform,2016-05-01
615,Google,Webpass,Internet service provider,2016-06-01
616,Google,Moodstocks,Image recognition,2016-07-01
617,Google,Anvato,Cloud-based video services,2016-07-01
618,Google,Kifi,Link management,2016-07-01
619,Google,LaunchKit,Mobile developer tools,2016-07-01
620,Google,Orbitera,Cloud software,2016-08-01
621,Google,Apigee,API management and predictive analytics,2016-09-01
622,Google,Urban Engines,Location-based analytics,2016-09-01
623,Google,API.AI,Natural language processing,2016-09-01
624,Google,FameBit,Branded content,2016-10-01
625,Google,Eyefluence,"Eye tracking, virtual reality",2016-10-01
626,Google,LeapDroid,Android Emulator,2016-11-01
627,Google,Qwiklabs,Cloud-based hands-on training platform,2016-11-01
628,Google,Cronologics,Smartwatches,2016-12-01
629,Google,Limes Audio,Voice communication,2017-01-01
630,Google,Fabric,Mobile app platform,2017-01-01
631,Google,Kaggle,Data science,2017-03-01
632,Google,AppBridge,Productivity suite,2017-03-01
633,Google,Owlchemy Labs,Virtual reality studio,2017-05-01
634,Google,Halli Labs,Artificial intelligence,2017-07-01
635,Google,AIMatter,Computer vision,2017-08-01
636,Google,HTC (portions),Talent and intellectual property licenses,2017-09-01
637,Google,Bitium,Single sign-on and identity management,2017-09-01
638,Google,Relay Media,AMP converter,2017-10-01
639,Google,60db,Podcasts,2017-10-01
640,Google,Redux,Audio,2018-01-01
641,Google,Tenor,GIF image search,2018-03-01
642,Google,Velostrata,Cloud migration,2018-05-01
643,Google,Cask,"Big data, Hadoop",2018-05-01
644,Google,GraphicsFuzz,GPU reliability,2018-08-01
645,Google,Senosis,Health monitoring,2018-09-01
646,Google,Onward,"Machine learning, natural language processing",2018-10-01
647,Google,Workbench Education,Education technology,2018-11-01
648,Google,Sigmoid Labs,Indian Railways Train Tracking,2018-12-01
649,Google,DevOps Research and Assessment,Research and Assessment,2018-12-01
650,Google,Superpod,Question and answer app,2019-01-01
651,Google,Alooma,"Big data, cloud migration",2019-02-01
652,Google,Nightcorn,Video sharing,2019-03-01
653,Google,Looker,"Big data, analytics",2019-06-01
654,Google,Elastifile,File storage,2019-07-01
655,Google,Socratic,Learning apps,2019-10-01
656,Google,CloudSimple,Cloud hosting,2019-11-01
657,Google,Typhoon Studios,Video game development,2019-12-01
658,Google,AppSheet,Mobile app development,2020-01-01
659,Google,Pointy,Local retail inventory feeds,2020-01-01
660,Google,Cornerstone Technology B.V.,"Mainframe, cloud migration",2020-02-01
661,Google,North,Smart glasses,2020-06-01
662,Google,Stratozone,Cloud Assessment,2020-08-01
663,Google,Dataform,"Big data, analytics",2020-12-01
664,Google,Neverware,Chrome OS distribution,2020-12-01
665,Google,Actifio,"Backup, Disaster Recovery",2020-12-01
666,Google,Fitbit,Wearables,2021-01-01
667,Google,Provino,Cloud hardware,2021-02-01
668,Google,Dysonics,Audio hardware,2021-04-01
669,Google,Playspace,Collaboration tool,2021-09-01
670,Microsoft,"Forethought, Inc.",Computer software,1987-07-01
671,Microsoft,Consumers Software,Software,1991-03-01
672,Microsoft,Fox Software,PC database software,1992-06-01
673,Microsoft,Softimage,Wholesale 3-D visualization software,1994-02-01
674,Microsoft,Altamira Software,Software,1994-09-01
675,Microsoft,NextBase,Software,1994-11-01
676,Microsoft,One Tree Software,Software,1994-11-01
677,Microsoft,RenderMorphics,3D graphics hardware,1995-02-01
678,Microsoft,Network Managers,Systems design,1995-07-01
679,Microsoft,The Blue Ribbon SoundWorks,Software,1995-10-01
680,Microsoft,Netwise,Computer software,1995-11-01
681,Microsoft,Bruce Artwick Organization,Programming,1995-12-01
682,Microsoft,Vermeer Technologies,Software,1996-01-01
683,Microsoft,VGA-Animation Software Div,Software,1996-03-01
684,Microsoft,Colusa Software,Software,1996-03-01
685,Microsoft,Exos,Video game controllers,1996-04-01
686,Microsoft,Aspect Software Engineering,Computer software,1996-04-01
687,Microsoft,eShop Inc.,Software,1996-06-01
688,Microsoft,Electric Gravity,Electronic games,1996-06-01
689,Microsoft,Panorama Software Sys-On-Line,Software,1996-11-01
690,Microsoft,NetCarta,Internet software,1997-02-01
691,Microsoft,Interse,Internet software,1997-03-01
692,Microsoft,WebTV Networks,Internet service provider,1997-04-01
693,Microsoft,Dimension X,Java-based platforms,1997-05-01
694,Microsoft,Cooper & Peters,Programming,1997-06-01
695,Microsoft,LinkAge Software,Internet software development,1997-06-01
696,Microsoft,VXtreme,Internet video software,1997-08-01
697,Microsoft,Hotmail,Internet software,1997-12-01
698,Microsoft,Flash Communications,Enterprise instant messaging software,1998-02-01
699,Microsoft,Firefly,Relationship management software,1998-04-01
700,Microsoft,MESA Group,Data sharing software,1998-04-01
701,Microsoft,Valence Research,Internet software,1998-08-01
702,Microsoft,LinkExchange,Internet advertising network,1998-11-01
703,Microsoft,FASA Interactive,Video games,1999-01-01
704,Microsoft,CompareNet,Shopping online,1999-03-01
705,Microsoft,Numinous Technologies,Software,1999-03-01
706,Microsoft,Access Software,Video games,1999-04-01
707,Microsoft,Interactive Objects-Digital,Web music software,1999-04-01
708,Microsoft,Jump Networks,Internet service provider,1999-04-01
709,Microsoft,ShadowFactor Software,Wholesale computer software,1999-06-01
710,Microsoft,Omnibrowse,Internet software,1999-06-01
711,Microsoft,Intrinsa,Defect detection software,1999-06-01
712,Microsoft,Sendit,Application software,1999-07-01
713,Microsoft,Zoomit,Encryption software,1999-07-01
714,Microsoft,STNC,Community software,1999-07-01
715,Microsoft,Softway Systems,Computer programming,1999-09-01
716,Microsoft,Entropic,Software,1999-10-01
717,Microsoft,Visio Corporation,Wholesale drawing software,2000-01-01
718,Microsoft,Peach Networks,Digital TV services,2000-02-01
719,Microsoft,Travelscape,Internet service provider,2000-03-01
720,Microsoft,Titus Communications,Cable television,2000-04-01
721,Microsoft,Bungie,Video games,2000-06-01
722,Microsoft,NetGames,Software,2000-07-01
723,Microsoft,MongoMusic,Online music search engine,2000-09-01
724,Microsoft,Pacific Microsonics,Digital audio technology,2000-09-01
725,Microsoft,Digital Anvil,Video games,2000-12-01
726,Microsoft,Vacationspot,Internet service provider,2001-03-01
727,Microsoft,Great Plains Software,Business management software,2001-04-01
728,Microsoft,Intellisol International,Software,2001-05-01
729,Microsoft,Ensemble Studios,Video games,2001-05-01
730,Microsoft,NCompass Labs,Internet software,2001-05-01
731,Microsoft,Maximal Innovative Intelligence,Software,2001-06-01
732,Microsoft,Yupi,Online Spanish portal,2001-07-01
733,Microsoft,Classic Custom Vacations,Travel agency,2002-03-01
734,Microsoft,Sales Management Systems,Software,2002-05-01
735,Microsoft,Navision,Software programming,2002-07-01
736,Microsoft,Mobilocity,Computer consulting,2002-07-01
737,Microsoft,XDegrees,Security software,2002-09-01
738,Microsoft,Rare,Video games,2002-09-01
739,Microsoft,Vicinity,Online enterprise location,2002-12-01
740,Microsoft,Connectix,Software,2003-02-01
741,Microsoft,DCG,Internet software,2003-03-01
742,Microsoft,PlaceWare,Web conferencing,2003-04-01
743,Microsoft,G.A. Sullivan,Information technology,2003-05-01
744,Microsoft,GeCAD Software,Antivirus technology,2003-06-01
745,Microsoft,3DO Co-High Heat Baseball,Software,2003-08-01
746,Microsoft,Encore Bus Solutions-IP Asts,IP assets,2004-04-01
747,Microsoft,ActiveViews,Reporting systems,2004-04-01
748,Microsoft,Lookout Software,Personal search tool,2004-07-01
749,Microsoft,GIANT Company Software,Anti-spyware,2004-12-01
750,Microsoft,en'tegrate,Software,2005-03-01
751,Microsoft,Groove Networks,Community software,2005-04-01
752,Microsoft,MessageCast,Messaging,2005-05-01
753,Microsoft,Tsinghua-Shenxun-Cert Asts,Certain assets,2005-05-01
754,Microsoft,Sybari Software,Software,2005-06-01
755,Microsoft,Teleo,VoIP,2005-08-01
756,Microsoft,FrontBridge Technologies,Email protection,2005-08-01
757,Microsoft,Alacris,Certificate management software,2005-09-01
758,Microsoft,media-streams.com,Software,2005-11-01
759,Microsoft,5th Finger,Mobile,2005-11-01
760,Microsoft,UMT-Software and IP Assets,Software,2006-01-01
761,Microsoft,MotionBridge,Search,2006-02-01
762,Microsoft,Seadragon Software,Software,2006-02-01
763,Microsoft,Apptimum,Software,2006-03-01
764,Microsoft,Onfolio,Internet software,2006-03-01
765,Microsoft,Lionhead Studios,Video games,2006-04-01
766,Microsoft,AssetMetrix,Enterprise asset intelligence (SaaS),2006-04-01
767,Microsoft,Massive Incorporated,Video game advertising,2006-05-01
768,Microsoft,Vexcel,Mapping software,2006-05-01
769,Microsoft,DeepMetrix,Web log analysis,2006-05-01
770,Microsoft,ProClarity,Analysis software,2006-06-01
771,Microsoft,iView Multimedia,Digital asset management,2006-06-01
772,Microsoft,Softricity,Application virtualization software,2006-07-01
773,Microsoft,Winternals Software,Software,2006-07-01
774,Microsoft,Whale Communications,Applications,2006-07-01
775,Microsoft,Gteko,Applications,2006-09-01
776,Microsoft,DesktopStandard,Applications,2006-10-01
777,Microsoft,Colloquis,Natural language software,2006-10-01
778,Microsoft,Medstory,Internet search engine,2007-03-01
779,Microsoft,devBiz Business Solutions,Software tools,2007-03-01
780,Microsoft,ScreenTonic,Advertising and marketing,2007-05-01
781,Microsoft,Tellme Networks,Mobile phone software,2007-05-01
782,Microsoft,SoftArtisans,Business Intelligence software,2007-05-01
783,Microsoft,Engyro,Information technology,2007-06-01
784,Microsoft,Stratature,Master data management,2007-06-01
785,Microsoft,Savvis Inc-Data Centers,Networking,2007-06-01
786,Microsoft,AdECN,Ad Exchange,2007-08-01
787,Microsoft,aQuantive,Digital marketing,2007-08-01
788,Microsoft,Jellyfish.com,Search engine,2007-10-01
789,Microsoft,Parlano,Enterprise messaging software,2007-10-01
790,Microsoft,Global Care Solutions-Assets,Assets,2007-10-01
791,Microsoft,HOB Business Solutions,Information technology,2007-11-01
792,Microsoft,Musiwave,Mobile music entertainment,2007-11-01
793,Microsoft,Multimap.com,Mapping,2007-12-01
794,Microsoft,Calista Technologies,Software,2008-01-01
795,Microsoft,Caligari Corporation,Software,2008-02-01
796,Microsoft,YaData,Software,2008-02-01
797,Microsoft,Rapt,Advertising yield management software,2008-03-01
798,Microsoft,Komoku,Rootkit security software,2008-03-01
799,Microsoft,90 Degree Software,Business intelligence software,2008-03-01
800,Microsoft,Farecast,Online search software,2008-04-01
801,Microsoft,Danger,Mobile Internet software,2008-04-01
802,Microsoft,Fast Search & Transfer,Enterprise search[clarification needed],2008-04-01
803,Microsoft,Kidaro,Software,2008-05-01
804,Microsoft,Quadreon,Software,2008-06-01
805,Microsoft,Navic Networks,Management software,2008-06-01
806,Microsoft,Mobicomp,Mobile applications,2008-06-01
807,Microsoft,Powerset,Semantic Search,2008-08-01
808,Microsoft,DATAllegro,Data software,2008-09-01
809,Microsoft,Greenfield Online,Search and e-commerce services,2008-09-01
810,Microsoft,3DV Systems,"Developer of ZCam, a time-of-flight camera",2009-03-01
811,Microsoft,BigPark,Video games interactive online gaming,2009-05-01
812,Microsoft,Rosetta Biosoftware,Bioinformatics solutions for life science research,2009-06-01
813,Microsoft,Interactive Supercomputing,Software,2009-09-01
814,Microsoft,Opalis Software,Software,2009-12-01
815,Microsoft,"Sentillion, Inc.",Software for the healthcare industry,2010-02-01
816,Microsoft,"AVIcode, Inc.",.Net monitoring technology,2010-10-01
817,Microsoft,"Canesta, Inc.",3D sensing technology,2010-10-01
818,Microsoft,Skype Technologies,Telecommunications,2011-05-01
819,Microsoft,Prodiance,Software,2011-06-01
820,Microsoft,Twisted Pixel Games,Video games,2011-10-01
821,Microsoft,Videosurf,Video search,2011-11-01
822,Microsoft,Press Play,Video games,2012-06-01
823,Microsoft,Yammer,Social networking,2012-06-01
824,Microsoft,Perceptive Pixel,Multi touch hardware,2012-07-01
825,Microsoft,PhoneFactor,Two-factor authentication system,2012-10-01
826,Microsoft,StorSimple,Cloud-storage appliance vendor,2012-10-01
827,Microsoft,MarketingPilot,Marketing automation firm,2012-10-01
828,Microsoft,id8 Group R2 Studios,Home automation,2013-01-01
829,Microsoft,Pando Networks,Peer-to-peer (P2P) media distribution,2013-02-01
830,Microsoft,MetricsHub,Cloud monitoring,2013-03-01
831,Microsoft,Netbreeze,Social analytics,2013-03-01
832,Microsoft,InRelease,Release management,2013-06-01
833,Microsoft,Nokia mobile phones unit,"Mobile phones, smartphones",2013-09-01
834,Microsoft,HLW Software,RDP applications,2013-10-01
835,Microsoft,Apiphany,API management,2013-10-01
836,Microsoft,Parature,Customer service software,2014-01-01
837,Microsoft,GreenButton,Cloud computing,2014-05-01
838,Microsoft,Capptain,(Mobile) application development,2014-05-01
839,Microsoft,SyntaxTree,Developer tools,2014-07-01
840,Microsoft,InMage,Disaster recovery solutions,2014-07-01
841,Microsoft,Inception Mobile Inc.,Software,2014-08-01
842,Microsoft,Mojang,Video games,2014-11-01
843,Microsoft,Aorato,Enterprise security & machine learning,2014-11-01
844,Microsoft,Acompli,Mobile email apps,2014-12-01
845,Microsoft,HockeyApp,Mobile beta distribution & crash analytics,2014-12-01
846,Microsoft,Equivio,Text analytics service,2015-01-01
847,Microsoft,Revolution Analytics,Statistical computing and predictive analytics,2015-01-01
848,Microsoft,"Sunrise Atelier, Inc.",Sunrise Calendar applications,2015-02-01
849,Microsoft,N-trig,Styli and pen input hardware and software,2015-02-01
850,Microsoft,LiveLoop,PowerPoint collaboration,2015-03-01
851,Microsoft,"Datazen Software, Inc.",Mobile business intelligence & data visualization,2015-04-01
852,Microsoft,6 Wunderkinder GmbH,Wunderlist to-do list applications,2015-06-01
853,Microsoft,BlueStripe Software,Application management,2015-06-01
854,Microsoft,FieldOne Systems LLC,Enterprise field service,2015-07-01
855,Microsoft,Adallom,Cloud security,2015-07-01
856,Microsoft,"Incent Games, LLC",Sales-gamification,2015-08-01
857,Microsoft,"VoloMetrix, Inc.",Organisational analytics,2015-09-01
858,Microsoft,"Double Labs, Inc.",Mobile lock screen software,2015-09-01
859,Microsoft,Adxstudio Inc.,Web portal and application lifecycle management solutions,2015-09-01
860,Microsoft,Havok,Video game physics engine,2015-10-01
861,Microsoft,"Mobile Data Labs, Inc.","MileIQ, a mileage tracking application",2015-11-01
862,Microsoft,Secure Islands Technologies Ltd.,Data protection,2015-11-01
863,Microsoft,Metanautix,Big data analytics,2015-12-01
864,Microsoft,"Talko, Inc.",Mobile communications,2015-12-01
865,Microsoft,Teacher Gaming LLC,Education software,2016-01-01
866,Microsoft,SwiftKey,Virtual keyboard,2016-02-01
867,Microsoft,Groove,Music discovery,2016-02-01
868,Microsoft,Xamarin,Mobile application development,2016-02-01
869,Microsoft,Solair,Internet of Things platform,2016-05-01
870,Microsoft,Wand Labs,Conversation as a service,2016-06-01
871,Microsoft,Beam,Video game streaming,2016-08-01
872,Microsoft,Genee,AI-powered scheduling assistant service,2016-08-01
873,Microsoft,LinkedIn,Professional social network,2016-12-01
874,Microsoft,Maluuba,Artificial intelligence,2017-01-01
875,Microsoft,Simplygon,3D graphics optimization,2017-01-01
876,Microsoft,Deis,Container management,2017-04-01
877,Microsoft,Intentional Software,Intentional programming,2017-04-01
878,Microsoft,Hexadite,Cybersecurity,2017-06-01
879,Microsoft,Cloudyn,Cloud business management,2017-06-01
880,Microsoft,Cycle Computing,Cloud HPC,2017-08-01
881,Microsoft,AltspaceVR,Virtual reality,2017-10-01
882,Microsoft,SWNG,Cinemagraphic photo app,2017-11-01
883,Microsoft,Avere Systems,Data management,2018-01-01
884,Microsoft,Playfab,Gaming backend service,2018-01-01
885,Microsoft,Semantic Machines,Conversational AI,2018-05-01
886,Microsoft,Ninja Theory,Video games,2018-06-01
887,Microsoft,Undead Labs,Video games,2018-06-01
888,Microsoft,Compulsion Games,Video games,2018-06-01
889,Microsoft,Playground Games,Video games,2018-06-01
890,Microsoft,Flipgrid,"Education, video discussion platform",2018-06-01
891,Microsoft,Bonsai,Industrial AI platform,2018-06-01
892,Microsoft,Lobe,Artificial intelligence,2018-09-01
893,Microsoft,Glint,Employee engagement,2018-10-01
894,Microsoft,GitHub,Software development and version control platform,2018-10-01
895,Microsoft,inXile Entertainment,Video games,2018-11-01
896,Microsoft,Obsidian Entertainment,Video games,2018-11-01
897,Microsoft,XOXCO,Conversational AI,2018-11-01
898,Microsoft,FSLogix,Application provisioning and virtualization,2018-11-01
899,Microsoft,Spectrum,Social networks for design and development,2018-11-01
900,Microsoft,Citus Data,Database management,2019-01-01
901,Microsoft,DataSense,Database management,2019-02-01
902,Microsoft,Express Logic,Real-time operating systems,2019-04-01
903,Microsoft,Double Fine Productions,Video games,2019-06-01
904,Microsoft,BlueTalon,Data privacy and governance service,2019-07-01
905,Microsoft,PromoteIQ,Retail e-commerce improvement,2019-08-01
906,Microsoft,jClarity,Java software optimization,2019-08-01
907,Microsoft,Movere,Cloud migration,2019-09-01
908,Microsoft,Mover,File migration,2019-10-01
909,Microsoft,Affirmed Networks,5G Networking,2020-03-01
910,Microsoft,Metaswitch Networks,5G Networking,2020-05-01
911,Microsoft,Softomotive,Robotic Process Automation,2020-05-01
912,Microsoft,ADRM Software,data modeling startup,2020-06-01
913,Microsoft,CyberX,IoT/OT Security,2020-06-01
914,Microsoft,Orions Systems,Dynamics 365 - SMart vision,2020-07-01
915,Microsoft,ZeniMax Media,Video games,2020-09-01
916,Microsoft,Smash.gg,Esports,2020-12-01
917,Microsoft,The Marsden Group,Tech in complex industrial environments,2021-03-01
918,Microsoft,Nuance Communications,Speech synthesis and speech recognition,2021-04-01
919,Microsoft,ReFirm Labs,IoT security and embedded devices,2021-06-01
920,Microsoft,AT&T Technology Network Cloud,5G Networking,2021-06-01
921,Microsoft,RiskIQ,Cybersecurity ransomware,2021-07-01
922,Microsoft,CloudKnox,Cloud infrastructure entitlement management security,2021-07-01
923,Microsoft,Suplari,Software,2021-07-01
924,Microsoft,Peer5,Peer 2 Peer Network Technology,2021-08-01
925,Microsoft,Clipchamp,Video-editing software,2021-09-01
926,Microsoft,TakeLessons,Education,2021-09-01
927,Microsoft,Ally.io,Productivity,2021-10-01
928,Blackberry,Plazmic Inc.,Software,2001-11-01
929,Blackberry,TeamOn Systes Inc.,Software provider,2002-08-01
930,Blackberry,Nextair Inc.,Mobile app design studio and apps,2005-02-01
931,Blackberry,Ascendent Systems,Enterprise voice mobility solutions,2006-03-01
932,Blackberry,Slipstream Data Inc.,Data compression,2006-06-01
933,Blackberry,Epoch Integration,Wireless network firm,2006-11-01
934,Blackberry,Certicom,Cryptography,2009-01-01
935,Blackberry,Chalk Media,Software,2009-01-01
936,Blackberry,Alt-N Technologies,Mail transfer agent,2009-02-01
937,Blackberry,Dash Navigation,Car navigation systems,2009-06-01
938,Blackberry,Torch Mobile,WebKit mobile browser,2009-08-01
939,Blackberry,Viigo,News / data aggregation,2010-03-01
940,Blackberry,QNX Software Systems,Unix-like OS,2010-04-01
941,Blackberry,Cellmania,App store software maker,2010-08-01
942,Blackberry,Documents To Go and other assets,Office suite,2010-09-01
943,Blackberry,The Astonishing Tribe,Interface wizards,2010-12-01
944,Blackberry,Gist,Professional contact manager,2011-02-01
945,Blackberry,tinyHippos,Mobile web development,2011-03-01
946,Blackberry,Tungle.me,Social calendaring,2011-04-01
947,Blackberry,Scoreloop,Social gaming,2011-06-01
948,Blackberry,Ubitexx,Mobile device management,2011-05-01
949,Blackberry,Jaycut,Video editing,2011-07-01
950,Blackberry,NewBay,Content provider,2011-10-01
951,Blackberry,Paratek,RF multi-band handsets,2012-03-01
952,Blackberry,Scroon,Social marketing company,2013-05-01
953,Blackberry,Secusmart GmbH,Voice and data encryption,2014-07-01
954,Blackberry,Movirtu,Virtual SIM solutions,2014-09-01
955,Blackberry,WatchDox Ltd.,Enterprise data sync and share,2015-04-01
956,Blackberry,"AtHoc, Inc.",Networked crisis communications,2015-07-01
957,Blackberry,Good Technology,Mobile security provider,2015-08-01
958,Blackberry,Encription Ltd.,Cybersecurity services,2016-02-01
959,Blackberry,Cylance Inc.,Security firm,2018-11-01
960,Ebay,Up4Sale.com,Online auction,1998-07-01
961,Ebay,Butterfield & Butterfield,Auction house,1999-04-01
962,Ebay,Billpoint,E-commerce payment systems,1999-05-01
963,Ebay,Kruse International,Car auctions,1999-05-01
964,Ebay,Alando,Auction house,1999-06-01
965,Ebay,Blackthorne,Listing tool,1999-10-01
966,Ebay,Half.com,Online marketplace,2000-06-01
967,Ebay,Precision Buying Service,E-commerce payment systems,2000-12-01
968,Ebay,Internet Auction Co.,Online auction,2001-01-01
969,Ebay,iBazar,Online auction,2001-03-01
970,Ebay,PayPal,E-commerce payment systems,2002-07-01
971,Ebay,CARad.com,Online auction,2003-01-01
972,Ebay,EachNet,Electronic commerce,2003-07-01
973,Ebay,mobile.de,Vehicles classifieds,2004-01-01
974,Ebay,Baazee.com,Online auction,2004-06-01
975,Ebay,Craigslist,Classified advertising,2004-08-01
976,Ebay,Marktplaats.nl,Classified advertising,2004-11-01
977,Ebay,Rent.com,Classified advertising,2004-12-01
978,Ebay,Loquo,Classified advertising,2005-05-01
979,Ebay,Gumtree,Classified advertising,2005-05-01
980,Ebay,Shopping.com,Price comparison service,2005-06-01
981,Ebay,OpusForum.org,Classified advertising,2005-06-01
982,Ebay,Skype Limited,Software for voice & video calls,2005-09-01
983,Ebay,Tradera,Online auction,2006-04-01
984,Ebay,StumbleUpon,Browser plugin,2007-05-01
985,Ebay,StubHub,Electronic commerce,2007-01-01
986,Ebay,GittiGidiyor,Electronic commerce,2007-05-01
987,Ebay,Meetup.com,Social network service,2006-03-01
988,Ebay,Fraud Sciences,Online risk management,2008-01-01
989,Ebay,Bill Me Later,Electronic commerce,2008-10-01
990,Ebay,dba.dk & bilbasen.dk,Classified advertising,2008-10-01
991,Ebay,Positronic Inc.,Machine learning,2009-01-01
992,Ebay,G-Market,Electronic commerce,2009-04-01
993,Ebay,Magento,Electronic commerce,2010-03-01
994,Ebay,RedLaser,Mobile applications,2010-06-01
995,Ebay,Milo.com,Shopping engine,2010-12-01
996,Ebay,brands4friends,Electronic commerce,2010-12-01
997,Ebay,GSI Commerce,Marketing/fulfillment,2011-03-01
998,Ebay,"Where, Inc.",Local search and recommendation,2011-03-01
999,Ebay,MissionFish,Nonprofit fundraising,2011-05-01
1000,Ebay,alaMaula,Online classifieds,2011-06-01
1001,Ebay,Zong,Payments through mobile carrier billing,2011-07-01
1002,Ebay,The Gifts Project,Group purchasing of gifts,2011-09-01
1003,Ebay,Zvents,Local event listings,2011-12-01
1004,Ebay,BillSAFE,Billing technology,2011-12-01
1005,Ebay,Svpply,Social shopping,2012-09-01
1006,Ebay,2dehands.be and 2ememain.be,Classified advertising,2013-07-01
1007,Ebay,Decide.com,Price forecasting,2013-09-01
1008,Ebay,Braintree,Payments,2013-09-01
1009,Ebay,Bureau of Trade,Content / commerce,2013-09-01
1010,Ebay,Shutl,Rapid fulfillment service,2013-10-01
1011,Ebay,PhiSix Fashion Labs,Virtual clothing,2014-02-01
